Country,Year,Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Deaths,ParentLocationCode,Country Code,GDP,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25
Albania,2001,98.71298,125,14.5,4.74,5.872,EUR,ALB,3922.1007935403,3.153615,0.051341,0.272195,0.909758,1.453973
Albania,2008,95.93864,131,14.5,8.09,6.57,EUR,ALB,12881.3528936855,2.95169,0.035026,0.183431,0.669407,1.210899
Albania,2011,96.8453,134,14.3,7.63,7.238,EUR,ALB,12890.760315146,2.90066,0.034353,0.168604,0.587289,1.118666
Albania,2012,97.24697,130,13.8,4.82,7.573,EUR,ALB,12319.834195331,2.892191,0.034584,0.167755,0.567336,1.092508
Albania,2015,97.5539,66,13.8,4.23,7.947,EUR,ALB,11386.8531130189,2.882482,0.033567,0.167618,0.523652,1.019225
Algeria,2002,69.8735,135,22.8,4.43,4.932,AFR,DZA,56760.355865008205,31.6247,0.593676,2.925094,10.018934,17.336968
Algeria,2006,72.64868,115,22.2,3.65,4.947,AFR,DZA,117027.280155386,33.435082,0.696782,3.176888,9.573292,17.065016
Algeria,2008,75.13605,121,22.4,3.31,4.91,AFR,DZA,171000.699876747,34.56959,0.77241,3.480675,9.622867,17.042392
Algeria,2015,79.6084,85,21.2,2.72,4.437,AFR,DZA,165979.224866131,39.543148,0.97597,4.623426,11.468788,17.929854
Angola,2001,67.40542,372,25.2,17.4593,17.789,AFR,AGO,8936.079251420932,16.941584,0.72708,3.157953,7.845165,11.06629
Angola,2014,66.03011,244,23.2,13.1431,9.181,AFR,AGO,135966.80215654202,27.12834,1.091597,5.011272,12.415058,17.528132
Angola,2015,71.16416,240,23.6,13.2696,8.826,AFR,AGO,90496.420626179,28.127724,1.117282,5.158468,12.871117,18.146508
Antigua and Barbuda,2001,98.95,154,13.0,1.88,6.305,AMR,ATG,800.481481481481,0.076227,0.001418,0.007027,0.021022,0.033606
Antigua and Barbuda,2014,98.95,127,0.6,0.438,5.544,AMR,ATG,1378.82962962963,0.089252,0.001097,0.006014,0.019326,0.03386
Argentina,2001,97.19331,181,11.6,10.3074,7.549,AMR,ARG,268696.75,37.480492,0.70347,3.514878,10.480856,16.990728
Argentina,2014,98.03402,145,13.4,9.16,7.447,AMR,ARG,526319.673731638,42.824064,0.740933,3.654962,10.659314,17.667904
Argentina,2015,98.08997,145,13.9,8.1,7.543,AMR,ARG,594749.285413212,43.257064,0.742635,3.676189,10.697132,17.72372
Australia,2003,99.0,69,8.5,9.61,6.6,WPR,AUS,467739.07979033195,19.699004,0.249525,1.268807,3.968854,6.678111
Austria,2011,98.0,72,6.4,12.2841,9.1,EUR,AUT,431685.217367511,8.391201,0.077886,0.393455,1.229284,2.247355
Bangladesh,2001,47.4855,168,12.0,6.45,6.75,SEAR,BGD,53991.289844329105,131.67049,3.576976,17.11206,48.483068,76.20219
Bangladesh,2007,46.6636,150,16.9,5.48,6.793,SEAR,BGD,79611.88821314799,144.13594,3.357599,17.05334,49.79276,79.116456
Bangladesh,2011,58.76918,141,16.8,4.34,6.112,SEAR,BGD,128637.983882833,150.211,3.031713,15.746514,49.300536,79.10817
Bangladesh,2012,57.86075,140,15.9,4.0,5.868,SEAR,BGD,133355.820262925,152.09066,2.981026,15.405788,48.966076,79.098856
Bangladesh,2013,61.01554,138,15.9,3.8,5.975,SEAR,BGD,149990.52983678,154.03014,2.973001,15.119184,48.56887,79.07874
Bangladesh,2014,61.0933,136,15.9,3.73,5.891,SEAR,BGD,172885.43268694502,155.96131,2.970305,14.908091,48.14348,79.01216
Bangladesh,2015,65.13733,133,15.8,3.64,5.776,SEAR,BGD,195078.57325220198,157.83,2.953299,14.761756,47.66662,78.86234
Bangladesh,2016,72.75872,130,15.8,3.6,5.632,SEAR,BGD,265236.390328627,159.78458,2.951693,14.694691,47.168636,78.73697
Barbados,2002,99.7,157,11.3,0.291,9.296,AMR,BRB,3106.5,0.266467,0.00367,0.018621,0.057178,0.095815
Belgium,2003,99.0,65,12.0,17.8873,10.3,EUR,BEL,318082.528506588,10.40255,0.113561,0.577585,1.807364,3.066651
Belize,2001,80.9,203,37.5,8.19,5.936,AMR,BLZ,1168.1279739434901,0.248109,0.007231,0.034997,0.097968,0.148452
Belize,2015,82.77682,182,25.5,6.87,4.7,AMR,BLZ,2194.70930924204,0.359884,0.007708,0.037541,0.114345,0.188185
Benin,2002,34.65785,284,28.7,14.8633,11.77,AFR,BEN,4194.3426862178,7.431787,0.284798,1.297654,3.334339,4.780549
Benin,2006,28.70211,282,28.1,14.5722,11.128,AFR,BEN,7034.1113148881195,8.402635,0.319899,1.453731,3.721627,5.377203
Benin,2012,32.94882,252,27.4,13.9407,10.224,AFR,BEN,11141.3581158991,10.014087,0.366901,1.68933,4.347083,6.328043
Benin,2015,38.44714,246,27.3,13.3759,9.857,AFR,BEN,11388.1609971089,10.932791,0.400836,1.836009,4.718567,6.866494
Bhutan,2005,52.81469,254,13.4,5.99,7.473,SEAR,BTN,796.938571960642,0.663332,0.013942,0.067946,0.220608,0.37201
Bhutan,2012,55.31756,222,15.3,5.22,6.689,SEAR,BTN,1781.28018155431,0.721154,0.012975,0.064905,0.205525,0.365677
Bhutan,2015,63.90682,211,15.1,5.16,6.759,SEAR,BTN,2003.59683878013,0.743284,0.011851,0.062806,0.200882,0.356359
Bosnia and Herzegovina,2000,96.6631,170,19.0,8.13,8.358,EUR,BIH,5567.77276881188,4.179355,0.042791,0.233147,0.820171,1.548063
Bosnia and Herzegovina,2011,98.14204,133,14.9,8.35,9.851,EUR,BIH,18644.2335371093,3.743143,0.035474,0.182421,0.592031,1.097149
Bosnia and Herzegovina,2013,96.99177,65,15.4,8.23,11.055,EUR,BIH,18179.1085305261,3.617564,0.033659,0.177594,0.557359,1.038171
Bosnia and Herzegovina,2014,98.37765,65,15.5,8.2,12.276,EUR,BIH,18558.7335644692,3.57107,0.032405998,0.173956,0.54316,1.008051
Bosnia and Herzegovina,2015,98.48576,64,15.8,8.33,12.011,EUR,BIH,16404.3488714437,3.524328,0.031761,0.170036,0.531981,0.979467
Botswana,2003,81.18871,641,31.7,40.3419,13.409,AFR,BWA,7511.58217337724,1.826866,0.049101,0.234396,0.682041,1.105489
Botswana,2013,86.82318,291,20.9,27.7511,8.157,AFR,BWA,14271.7389332042,2.217285,0.057983,0.280084,0.764735,1.208823
Botswana,2014,87.70751,277,24.2,25.3485,7.927,AFR,BWA,15470.0885007414,2.260383,0.058419,0.283132,0.777174,1.220505
Botswana,2015,88.22441,263,24.8,24.5486,7.435,AFR,BWA,13530.748844504998,2.305177,0.058798,0.285833,0.789205,1.233157
Brazil,2000,86.36788,184,19.7,4.47,6.399,AMR,BRA,655448.231983527,175.87371,3.425032,17.313344,52.47019,86.90776
Brazil,2004,88.61624,169,22.2,4.73,6.258,AMR,BRA,669289.424806307,184.72205,3.189617,16.457217,51.052132,86.60955
Brazil,2006,89.61523,160,21.8,4.9,6.123,AMR,BRA,1107626.54171074,188.82069,3.149597,16.003825,50.322184,85.83167
Brazil,2007,90.00937,158,22.5,5.05,6.119,AMR,BRA,1397114.4864713799,190.77946,3.096576,15.79342,49.942932,85.300136
Brazil,2008,90.03662,157,22.6,5.22,6.106,AMR,BRA,1695855.08355205,192.67232,3.045555,15.611818,49.52844,84.690184
Brazil,2009,90.29821,156,22.2,5.19,6.155,AMR,BRA,1666996.43868146,194.51755,3.015724,15.441728,49.077876,84.041736
Brazil,2010,90.37918,154,24.3,5.0,6.199,AMR,BRA,2208837.74521423,196.3535,3.003747,15.266771,48.60684,83.39843
Brazil,2011,91.41124,153,24.5,5.19,6.283,AMR,BRA,2616156.2239774703,198.1853,2.994666,15.116511,48.12383,82.77779
Brazil,2012,91.33785,203,24.8,5.29,6.34,AMR,BRA,2465227.8030115697,199.97771,2.96948,14.993664,47.62125,82.15718
Brazil,2013,91.48424,200,23.1,5.41,6.31,AMR,BRA,2472819.53574273,201.72178,2.936032,14.887399,47.08803,81.529976
Brazil,2014,91.72943,196,23.6,5.4,6.272,AMR,BRA,2456043.72719885,203.45965,2.944284,14.817687,46.588376,80.93904
Brazil,2015,92.0479,196,20.8,5.6,6.433,AMR,BRA,1802212.20690468,205.18821,2.974118,14.788353,46.162724,80.401576
Brazil,2016,92.80844,194,19.9,5.67,6.538,AMR,BRA,1795693.48265252,206.85958,2.927802,14.722813,45.73996,79.86041
Bulgaria,2001,98.20356,223,13.2,13.158,14.0,EUR,BGR,14183.4460257389,8.034863,0.068958,0.337033,1.222013,2.357263
Bulgaria,2011,98.35245,194,9.2,7.9,14.7,EUR,BGR,57737.040780015705,7.543128,0.074635,0.39282,1.046043,1.915982
Bulgaria,2015,98.38858,185,10.1,6.77,15.3,EUR,BGR,50811.9956886771,7.309255,0.067113,0.349979,1.031391,1.735633
Burkina Faso,2003,21.82292,330,28.4,15.7815,14.435,AFR,BFA,4740.7681426749405,13.0306,0.535605,2.372392,5.97028,8.665393
Burkina Faso,2005,23.5222,314,29.2,15.8658,13.499,AFR,BFA,6146.35317334929,13.876134,0.568646,2.518882,6.310707,9.174539
Burkina Faso,2006,22.47258,303,29.4,15.9392,13.065,AFR,BFA,6547.41982038113,14.316247,0.588653,2.602489,6.499771,9.441029
Burkina Faso,2007,28.29366,294,29.6,15.8893,12.633,AFR,BFA,7625.72283676847,14.757072,0.607602,2.692815,6.700249,9.712477
Burkina Faso,2014,34.5994,264,30.2,15.6562,9.96,AFR,BFA,13943.016076743601,18.169844,0.705383,3.277683,8.293005,11.832264
Burkina Faso,2015,37.7467,260,30.4,15.4435,9.634,AFR,BFA,11832.1593156298,18.718022,0.713102,3.341603,8.526725,12.167786
Burundi,2000,59.30362,370,30.3,23.428,15.907,AFR,BDI,870.486065883137,6.307665,0.246781,1.125067,3.040201,4.419916
Burundi,2008,48.08406,340,33.0,15.6584,11.316,AFR,BDI,1611.8358570458802,8.278112,0.357958,1.58442,3.729242,5.564538
Burundi,2014,61.51349,300,33.6,13.139,8.798,AFR,BDI,2705.78332980483,10.49492,0.424933,2.02353,4.845018,6.80445
Burundi,2015,85.49609,296,34.4,12.7543,8.553,AFR,BDI,3104.00354626497,10.727153,0.42732,2.051917,5.020548,6.960423
Cambodia,2004,73.60995,262,17.6,6.6,7.273,WPR,KHM,5337.833248014341,13.016377,0.31639,1.542412,4.741686,7.631375
Cambodia,2008,76.87129,211,17.7,6.65,6.418,WPR,KHM,10351.9141774839,13.943897,0.329293,1.588346,4.635173,7.801073
Cambodia,2009,76.13796,203,17.9,6.39,6.127,WPR,KHM,10401.8517677083,14.155742,0.329863,1.60253,4.615105,7.787602
Cambodia,2014,78.05509,178,17.3,5.8,5.756,WPR,KHM,16702.6108423529,15.210817,0.337637,1.652055,4.732419,7.680385
Cambodia,2015,80.52649,174,17.4,5.75,5.81,WPR,KHM,18049.954289472098,15.417527,0.337529,1.660203,4.762926,7.662736
Cameroon,2000,68.40916,412,27.4,19.124,13.426,AFR,CMR,10566.579294983101,15.091598,0.574821,2.587831,6.827762,9.884192
Cameroon,2007,70.67994,376,28.1,20.3976,11.886,AFR,CMR,23928.2504330378,18.251868,0.695963,3.155265,8.04575,11.839603
Cameroon,2010,71.29051,355,28.9,19.5067,10.992,AFR,CMR,27507.501821029597,19.878044,0.74701,3.419481,8.707734,12.799863
Cameroon,2015,74.98558,355,29.0,17.0898,9.179,AFR,CMR,32210.2330204569,23.01265,0.818456,3.81187,9.954414,14.541412
Canada,2003,99.0,77,9.1,10.8902,7.1,AMR,CAN,895540.646634787,31.619456,0.331619,1.709738,5.790583,10.101171
Chad,2000,25.65421,413,27.0,15.7134,18.088,AFR,TCD,1388.50677158756,8.259144,0.387534,1.701333,4.028499,5.553347
Chad,2004,28.38143,413,25.1,15.6533,16.982,AFR,TCD,4422.8556608259205,9.613509,0.43801,1.929986,4.672381,6.44504
Chad,2014,39.04967,374,24.6,14.5973,14.022,AFR,TCD,13940.7672185849,13.697128,0.597801,2.709609,6.619789,9.255713
