,Country,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Deaths,ParentLocationCode,Country Code,GDP,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25
0,Albania,2001,0.194812083,0.698911545,0.134932482,3.364823706,0.492592205,2.201978816,1.659039977,98.71298,125,14.5,4.74,5.872,EUR,ALB,3922.1007935403,3.153615,0.051341,0.272195,0.909758,1.453973
1,Albania,2008,0.198306001,0.702399738,0.154944758,3.390168134,0.497332176,2.210642298,1.798549827,95.93864,131,14.5,8.09,6.57,EUR,ALB,12881.3528936855,2.95169,0.035026,0.183431,0.669407,1.210899
2,Albania,2011,0.199587904,0.703313274,0.162419643,3.391181075,0.502702838,2.202290732,1.843255556,96.8453,134,14.3,7.63,7.238,EUR,ALB,12890.760315146,2.90066,0.034353,0.168604,0.587289,1.118666
3,Albania,2012,0.199863102,0.703539474,0.165446093,3.390806718,0.505621101,2.202191807,1.847374755,97.24697,130,13.8,4.82,7.573,EUR,ALB,12319.834195331,2.892191,0.034584,0.167755,0.567336,1.092508
4,Albania,2015,0.200629842,0.704160792,0.171094897,3.388212385,0.513158142,2.204454204,1.850251797,97.5539,66,13.8,4.23,7.947,EUR,ALB,11386.8531130189,2.882482,0.033567,0.167618,0.523652,1.019225
5,Algeria,2002,0.193913562,0.807496907,0.187401094,4.991301114,1.526995247,3.659018145,0.64858447,69.8735,135,22.8,4.43,4.932,AFR,DZA,56760.355865008205,31.6247,0.593676,2.925094,10.018934,17.336968
6,Algeria,2006,0.195830458,0.811975156,0.196273134,5.024179137,1.569557832,3.650925963,0.652640463,72.64868,115,22.2,3.65,4.947,AFR,DZA,117027.280155386,33.435082,0.696782,3.176888,9.573292,17.065016
7,Algeria,2008,0.196505312,0.813799424,0.200466795,5.033205636,1.626479023,3.62568648,0.658998268,75.13605,121,22.4,3.31,4.91,AFR,DZA,171000.699876747,34.56959,0.77241,3.480675,9.622867,17.042392
8,Algeria,2015,0.197727657,0.817862336,0.211434171,5.058397773,1.709813861,3.636961843,0.665817197,79.6084,85,21.2,2.72,4.437,AFR,DZA,165979.224866131,39.543148,0.97597,4.623426,11.468788,17.929854
9,Angola,2001,0.164860598,0.618220191,0.131596635,3.243619331,0.511646246,4.199635841,1.417396666,67.40542,372,25.2,17.4593,17.789,AFR,AGO,8936.079251420932,16.941584,0.72708,3.157953,7.845165,11.06629
10,Angola,2014,0.171928184,0.623582668,0.167412066,3.289271299,0.510054225,4.156467677,1.385028977,66.03011,244,23.2,13.1431,9.181,AFR,AGO,135966.80215654202,27.12834,1.091597,5.011272,12.415058,17.528132
11,Angola,2015,0.172277323,0.623747582,0.169553528,3.291955145,0.513006224,4.158483796,1.383269465,71.16416,240,23.6,13.2696,8.826,AFR,AGO,90496.420626179,28.127724,1.117282,5.158468,12.871117,18.146508
12,Antigua and Barbuda,2001,0.204370648,0.924483457,0.329070829,4.64138449,0.777721988,2.571886039,2.075933085,98.95,154,13.0,1.88,6.305,AMR,ATG,800.481481481481,0.076227,0.001418,0.007027,0.021022,0.033606
13,Antigua and Barbuda,2014,0.206399078,0.925441037,0.350603312,4.614067553,0.786771346,2.539623036,2.134395938,98.95,127,0.6,0.438,5.544,AMR,ATG,1378.82962962963,0.089252,0.001097,0.006014,0.019326,0.03386
14,Argentina,2001,0.196426581,0.764884568,0.365303888,6.225155283,0.908681379,3.658839104,2.264304235,97.19331,181,11.6,10.3074,7.549,AMR,ARG,268696.75,37.480492,0.70347,3.514878,10.480856,16.990728
15,Argentina,2014,0.197891957,0.772175463,0.394866556,6.276019871,0.979328607,3.654178219,1.823080077,98.03402,145,13.4,9.16,7.447,AMR,ARG,526319.673731638,42.824064,0.740933,3.654962,10.659314,17.667904
16,Argentina,2015,0.197978011,0.772567541,0.397997794,6.278538229,0.987998389,3.657683138,1.822172282,98.08997,145,13.9,8.1,7.543,AMR,ARG,594749.285413212,43.257064,0.742635,3.676189,10.697132,17.72372
17,Australia,2003,0.366273758,1.148157915,0.850375777,6.578489132,2.215742305,4.892316839,1.486346876,99.0,69,8.5,9.61,6.6,WPR,AUS,467739.079790332,19.699004,0.249525,1.268807,3.968854,6.678111
18,Austria,2011,0.256221453,0.939936204,0.669634515,5.35175982,0.913810896,3.284904536,1.950263399,98.0,72,6.4,12.2841,9.1,EUR,AUT,431685.217367511,8.391201,0.077886,0.393455,1.229284,2.247355
19,Bangladesh,2001,0.250773494,0.579917468,0.108645468,4.196491943,0.497556483,4.232661102,1.350383613,47.4855,168,12.0,6.45,6.75,SEAR,BGD,53991.28984432911,131.67049,3.576976,17.11206,48.483068,76.20219
20,Bangladesh,2007,0.250968024,0.58160019,0.115688429,4.248703892,0.497624312,4.226987629,1.389281925,46.6636,150,16.9,5.48,6.793,SEAR,BGD,79611.88821314799,144.13594,3.357599,17.05334,49.79276,79.116456
21,Bangladesh,2011,0.251094274,0.582140858,0.12368088,4.254231609,0.500640525,4.221367149,1.43702919,58.76918,141,16.8,4.34,6.112,SEAR,BGD,128637.983882833,150.211,3.031713,15.746514,49.300536,79.10817
22,Bangladesh,2012,0.251231434,0.582322163,0.125936907,4.259426788,0.502252618,4.213672385,1.443101051,57.86075,140,15.9,4.0,5.868,SEAR,BGD,133355.820262925,152.09066,2.981026,15.405788,48.966076,79.098856
23,Bangladesh,2013,0.2514178,0.582513586,0.128099006,4.264447361,0.504134554,4.199102975,1.44870089,61.01554,138,15.9,3.8,5.975,SEAR,BGD,149990.52983678,154.03014,2.973001,15.119184,48.56887,79.07874
24,Bangladesh,2014,0.251651243,0.582720348,0.13046178,4.269459121,0.505449703,4.182412745,1.453608476,61.0933,136,15.9,3.73,5.891,SEAR,BGD,172885.43268694502,155.96131,2.970305,14.908091,48.14348,79.01216
25,Bangladesh,2015,0.251929182,0.58294185,0.132743895,4.274400073,0.508197883,4.160872547,1.457625926,65.13733,133,15.8,3.64,5.776,SEAR,BGD,195078.573252202,157.83,2.953299,14.761756,47.66662,78.86234
