Country,Year,Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Deaths
Afghanistan,2011,31.44885,227,14.2 [12.0-16.4],6.42,0.165271894,0.705688469,0.098638115,4.864773417,2.573169938,4.130862192,0.662254251,7.931
Afghanistan,2011,31.44885,248,14.2 [12.0-16.4],6.42,0.165271894,0.705688469,0.098638115,4.864773417,2.573169938,4.130862192,0.662254251,7.931
Afghanistan,2011,31.44885,268,14.2 [12.0-16.4],6.42,0.165271894,0.705688469,0.098638115,4.864773417,2.573169938,4.130862192,0.662254251,7.931
Afghanistan,2015,38.16804,210,14.4 [12.3-16.4],5.99,0.165895095,0.70727518,0.104445057,4.875200804,2.543144192,4.13541925,0.66227622,7.331
Afghanistan,2015,38.16804,233,14.4 [12.3-16.4],5.99,0.165895095,0.70727518,0.104445057,4.875200804,2.543144192,4.13541925,0.66227622,7.331
Afghanistan,2015,38.16804,254,14.4 [12.3-16.4],5.99,0.165895095,0.70727518,0.104445057,4.875200804,2.543144192,4.13541925,0.66227622,7.331
Albania,2001,98.71298,100,14.5 [13.5-15.6],4.74,0.194812083,0.698911545,0.134932482,3.364823706,0.492592205,2.201978816,1.659039977,5.872
Albania,2001,98.71298,125,14.5 [13.5-15.6],4.74,0.194812083,0.698911545,0.134932482,3.364823706,0.492592205,2.201978816,1.659039977,5.872
Albania,2001,98.71298,73,14.5 [13.5-15.6],4.74,0.194812083,0.698911545,0.134932482,3.364823706,0.492592205,2.201978816,1.659039977,5.872
Albania,2008,95.93864,102,14.5 [13.5-15.5],8.09,0.198306001,0.702399738,0.154944758,3.390168134,0.497332176,2.210642298,1.798549827,6.57
Albania,2008,95.93864,131,14.5 [13.5-15.5],8.09,0.198306001,0.702399738,0.154944758,3.390168134,0.497332176,2.210642298,1.798549827,6.57
Albania,2008,95.93864,72,14.5 [13.5-15.5],8.09,0.198306001,0.702399738,0.154944758,3.390168134,0.497332176,2.210642298,1.798549827,6.57
Albania,2011,96.8453,103,14.3 [13.2-15.4],7.63,0.199587904,0.703313274,0.162419643,3.391181075,0.502702838,2.202290732,1.843255556,7.238
Albania,2011,96.8453,134,14.3 [13.2-15.4],7.63,0.199587904,0.703313274,0.162419643,3.391181075,0.502702838,2.202290732,1.843255556,7.238
Albania,2011,96.8453,72,14.3 [13.2-15.4],7.63,0.199587904,0.703313274,0.162419643,3.391181075,0.502702838,2.202290732,1.843255556,7.238
