Year,Road traffic death rate,Country Code,GDP,Suicide rate,Deaths,Country,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Literarcy rate,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25
2015,14.4,AFG,19134.2217445294,5.99,7.331,Afghanistan,0.165895095314,0.707275180371,0.104445057278,4.87520080402,2.54314419175999,4.13541925043,0.662276220458,38.16804,33753500,1238201.0,5747862,15456437,22708012
2011,14.2,AFG,17805.0983672952,6.42,7.931,Afghanistan,0.165271893873,0.705688468676,0.0986381146875,4.8647734172,2.57316993833,4.13086219160999,0.662254250874,31.44885,29249156,1098601.0,5227315,14116916,20055084
2015,13.8,ALB,11386.8531130189,4.23,7.947,Albania,0.200629841943,0.704160792151,0.171094896746,3.38821238498,0.513158142148,2.2044542039,1.85025179709999,97.5539,2882482,33567.0,167618,523652,1019225
2012,13.8,ALB,12319.834195331,4.82,7.573,Albania,0.19986310231,0.70353947441,0.165446092579,3.39080671792,0.505621101364,2.20219180717,1.84737475548,97.24697,2892191,34584.0,167755,567336,1092508
2011,14.3,ALB,12890.760315146,7.63,7.238,Albania,0.199587904068,0.703313274411,0.162419643345999,3.39118107539,0.502702838032,2.202290732,1.84325555579,96.8453,2900660,34353.0,168604,587289,1118666
2008,14.5,ALB,12881.3528936855,8.09,6.57,Albania,0.198306000569,0.702399738231,0.154944758228,3.39016813364,0.497332176001,2.21064229839,1.7985498267,95.93864,2951690,35026.0,183431,669407,1210899
2001,14.5,ALB,3922.1007935403,4.74,5.872,Albania,0.194812083139,0.698911545398,0.134932482055,3.36482370639,0.492592204821,2.20197881604,1.65903997652,98.71298,3153615,51341.0,272195,909758,1453973
2015,21.2,DZA,165979.224866131,2.72,4.437,Algeria,0.197727657336,0.817862335809,0.211434171323,5.05839777313,1.70981386067,3.63696184324,0.665817197376,79.6084,39543148,975970.0,4623426,11468788,17929854
2008,22.4,DZA,171000.699876747,3.31,4.91,Algeria,0.196505311821,0.813799423918,0.200466794787,5.03320563648,1.62647902267,3.62568648047,0.658998268371,75.13605,34569590,772410.0,3480675,9622867,17042392
2006,22.2,DZA,117027.280155386,3.65,4.947,Algeria,0.195830458116,0.811975156354,0.196273134432,5.02417913703,1.56955783154,3.65092596318,0.652640462913,72.64868,33435082,696782.0,3176888,9573292,17065016
2002,22.8,DZA,56760.355865008205,4.43,4.932,Algeria,0.193913562051,0.807496906975,0.187401093857,4.99130111447,1.5269952469,3.65901814531,0.648584470276,69.8735,31624700,593676.0,2925094,10018934,17336968
2015,23.6,AGO,90496.420626179,13.2696,8.826,Angola,0.172277322987,0.623747581614,0.169553527648,3.2919551445,0.513006223949,4.15848379631,1.38326946546,71.16416,28127724,1117282.0,5158468,12871117,18146508
2014,23.2,AGO,135966.80215654202,13.1431,9.181,Angola,0.171928183738,0.6235826679,0.167412065701999,3.28927129858999,0.51005422501,4.15646767691,1.38502897683,66.03011,27128340,1091597.0,5011272,12415058,17528132
2001,25.2,AGO,8936.079251420932,17.4593,17.789,Angola,0.164860597645,0.618220190962,0.131596634526,3.24361933094,0.511646246329,4.1996358405,1.41739666607,67.40542,16941584,727080.0,3157953,7845165,11066290
2014,0.6,ATG,1378.82962962963,0.438,5.544,Antigua and Barbuda,0.206399077504999,0.925441036768999,0.350603311511999,4.6140675526,0.786771345835,2.53962303561,2.13439593818,98.95,89252,1097.0,6014,19326,33860
2001,13.0,ATG,800.481481481481,1.88,6.305,Antigua and Barbuda,0.204370647893,0.924483457114999,0.329070828784,4.64138449046,0.777721988091,2.57188603867,2.07593308531,98.95,76227,1418.0,7027,21022,33606
